rows,direction,part,of,file,start,end,pass,varietal,scanid
2,dir1,1,1,2017-06-30_10-01_22179657_10_03.tar.gz,100.2,113.05,1,cabernet sauvignon,2017-06-30_10-01
2,dir2,1,2,2017-06-30_10-01_22179657_10_03.tar.gz,115.2,134.3,1,cabernet sauvignon,2017-06-30_10-01
2,dir2,2,2,2017-06-30_10-01_22179657_10_04.tar.gz,134.35,140.5,1,cabernet sauvignon,2017-06-30_10-01
4,dir1,1,1,2017-06-30_10-01_22179657_10_04.tar.gz,148.7,161.8,1,cabernet sauvignon,2017-06-30_10-01
4,dir2,1,1,2017-06-30_10-01_22179657_10_04.tar.gz,164.2,190,1,cabernet sauvignon,2017-06-30_10-01
6,dir1,1,1,2017-06-30_10-01_22179657_10_05.tar.gz,199.5,215.35,1,cabernet sauvignon,2017-06-30_10-01
6,dir2,1,1,2017-06-30_10-01_22179657_10_05.tar.gz,218.05,253.75,1,cabernet sauvignon,2017-06-30_10-01
8,dir1,1,1,2017-06-30_10-01_22179657_10_06.tar.gz,257.5,290.85,1,cabernet sauvignon,2017-06-30_10-01
8,dir2,1,1,2017-06-30_10-01_22179657_10_07.tar.gz,332.7,371.8,1,cabernet sauvignon,2017-06-30_10-01
10,dir1,1,1,2017-06-30_10-01_22179657_10_08.tar.gz,381.15,402.7,1,cabernet sauvignon,2017-06-30_10-01
10,dir2,1,1,2017-06-30_10-01_22179657_10_08.tar.gz,406.05,434.3,1,cabernet sauvignon,2017-06-30_10-01
12,dir1,1,1,2017-06-30_10-01_22179657_10_09.tar.gz,436.95,453.65,1,cabernet sauvignon,2017-06-30_10-01
12,dir2,1,1,2017-06-30_10-01_22179657_10_09.tar.gz,461.15,485.5,1,cabernet sauvignon,2017-06-30_10-01
14,dir1,1,2,2017-06-30_10-01_22179657_10_09.tar.gz,487.75,494.3,1,cabernet sauvignon,2017-06-30_10-01
14,dir1,2,2,2017-06-30_10-01_22179657_10_10.tar.gz,494.35,504.9,1,cabernet sauvignon,2017-06-30_10-01
14,dir2,1,1,2017-06-30_10-01_22179657_10_10.tar.gz,510.5,536.1,1,cabernet sauvignon,2017-06-30_10-01
16,dir1,1,2,2017-06-30_10-01_22179657_10_10.tar.gz,538.35,554.25,1,cabernet sauvignon,2017-06-30_10-01
16,dir1,2,2,2017-06-30_10-01_22179657_10_11.tar.gz,554.3,567,1,cabernet sauvignon,2017-06-30_10-01
16,dir2,1,1,2017-06-30_10-01_22179657_10_11.tar.gz,570.7,606.4,1,cabernet sauvignon,2017-06-30_10-01
18,dir1,1,1,2017-06-30_10-01_22179657_10_12.tar.gz,614.75,637.7,1,cabernet sauvignon,2017-06-30_10-01
18,dir2,1,1,2017-06-30_10-01_22179657_10_12.tar.gz,640.3,673.6,1,cabernet sauvignon,2017-06-30_10-01
20,dir1,1,1,2017-06-30_10-01_22179657_10_13.tar.gz,675.7,696.6,1,cabernet sauvignon,2017-06-30_10-01
20,dir2,1,2,2017-06-30_10-01_22179657_10_13.tar.gz,700,734.25,1,cabernet sauvignon,2017-06-30_10-01
20,dir2,2,2,2017-06-30_10-01_22179657_10_14.tar.gz,734.3,751.55,1,cabernet sauvignon,2017-06-30_10-01
22,dir1,1,1,2017-06-30_10-01_22179657_10_14.tar.gz,753.65,773.4,1,cabernet sauvignon,2017-06-30_10-01
22,dir2,1,2,2017-06-30_10-01_22179657_10_14.tar.gz,778.5,794.25,1,cabernet sauvignon,2017-06-30_10-01
22,dir2,2,2,2017-06-30_10-01_22179657_10_15.tar.gz,794.3,806.9,1,cabernet sauvignon,2017-06-30_10-01
24,dir1,1,1,2017-06-30_10-01_22179657_10_15.tar.gz,813.95,834.15,1,cabernet sauvignon,2017-06-30_10-01
24,dir2,1,2,2017-06-30_10-01_22179657_10_15.tar.gz,836.7,854.25,1,cabernet sauvignon,2017-06-30_10-01
24,dir2,2,2,2017-06-30_10-01_22179657_10_16.tar.gz,854.3,865.45,1,cabernet sauvignon,2017-06-30_10-01
26,dir1,1,1,2017-06-30_10-01_22179657_10_16.tar.gz,867.6,888.8,1,cabernet sauvignon,2017-06-30_10-01
26,dir2,1,2,2017-06-30_10-01_22179657_10_16.tar.gz,891.15,914.25,1,cabernet sauvignon,2017-06-30_10-01
26,dir2,2,2,2017-06-30_10-01_22179657_10_17.tar.gz,914.3,921.35,1,cabernet sauvignon,2017-06-30_10-01
28,dir1,1,1,2017-06-30_10-01_22179657_10_17.tar.gz,923.7,946.55,1,cabernet sauvignon,2017-06-30_10-01
28,dir2,1,2,2017-06-30_10-01_22179657_10_17.tar.gz,953.1,974.25,1,cabernet sauvignon,2017-06-30_10-01
28,dir2,2,2,2017-06-30_10-01_22179657_10_18.tar.gz,974.3,1001.25,1,cabernet sauvignon,2017-06-30_10-01
30,dir1,1,1,2017-06-30_10-01_22179657_10_18.tar.gz,1003.6,1026.35,1,cabernet sauvignon,2017-06-30_10-01
30,dir2,1,2,2017-06-30_10-01_22179657_10_18.tar.gz,1030.25,1034.25,1,cabernet sauvignon,2017-06-30_10-01
30,dir2,2,2,2017-06-30_10-01_22179657_10_19.tar.gz,1034.3,1067.7,1,cabernet sauvignon,2017-06-30_10-01
32,dir1,1,1,2017-06-30_10-01_22179657_10_19.tar.gz,1070.2,1093.2,1,cabernet sauvignon,2017-06-30_10-01
32,dir2,1,1,2017-06-30_10-01_22179657_10_20.tar.gz,1096.55,1132.2,1,cabernet sauvignon,2017-06-30_10-01
