rows,direction,part,of,file,start,end,pass,varietal,scanid
2,dir1,1,2,2017-08-31_14-43_22005521_14_44.tar.gz,4788.95,4809.95,1,cabernet sauvignon,2017-08-31_14-43
2,dir1,2,2,2017-08-31_14-43_22005521_14_45.tar.gz,4810,4826.95,1,cabernet sauvignon,2017-08-31_14-43
2,dir2,1,1,2017-08-31_14-43_22005521_14_45.tar.gz,4831.85,4865.75,1,cabernet sauvignon,2017-08-31_14-43
4,dir1,1,1,2017-08-31_14-43_22005521_14_46.tar.gz,4870.85,4909.8,1,cabernet sauvignon,2017-08-31_14-43
4,dir2,1,2,2017-08-31_14-43_22005521_14_46.tar.gz,4914.7,4929.9,1,cabernet sauvignon,2017-08-31_14-43
4,dir2,2,2,2017-08-31_14-43_22005521_14_47.tar.gz,4929.95,4949.6,1,cabernet sauvignon,2017-08-31_14-43
6,dir1,1,2,2017-08-31_14-43_22005521_14_47.tar.gz,4954.6,4989.9,1,cabernet sauvignon,2017-08-31_14-43
6,dir1,2,2,2017-08-31_14-43_22005521_14_48.tar.gz,4989.95,4993.95,1,cabernet sauvignon,2017-08-31_14-43
6,dir2,1,1,2017-08-31_14-43_22005521_14_48.tar.gz,4998.95,5036.35,1,cabernet sauvignon,2017-08-31_14-43
8,dir1,1,2,2017-08-31_14-43_22005521_14_48.tar.gz,5041.35,5049.9,1,cabernet sauvignon,2017-08-31_14-43
8,dir1,2,2,2017-08-31_14-43_22005521_14_49.tar.gz,5049.95,5092.35,1,cabernet sauvignon,2017-08-31_14-43
8,dir2,1,2,2017-08-31_14-43_22005521_14_49.tar.gz,5097.25,5109.9,1,cabernet sauvignon,2017-08-31_14-43
8,dir2,2,2,2017-08-31_14-43_22005521_14_50.tar.gz,5109.95,5141.6,1,cabernet sauvignon,2017-08-31_14-43
10,dir1,1,2,2017-08-31_14-43_22005521_14_50.tar.gz,5146.55,5169.9,1,cabernet sauvignon,2017-08-31_14-43
10,dir1,2,2,2017-08-31_14-43_22005521_14_51.tar.gz,5169.95,5187.85,1,cabernet sauvignon,2017-08-31_14-43
10,dir2,1,1,2017-08-31_14-43_22005521_14_51.tar.gz,5192.75,5227.05,1,cabernet sauvignon,2017-08-31_14-43
12,dir1,1,1,2017-08-31_14-43_22005521_14_52.tar.gz,5231.95,5274.65,1,cabernet sauvignon,2017-08-31_14-43
12,dir2,1,2,2017-08-31_14-43_22005521_14_52.tar.gz,5279.5,5289.9,1,cabernet sauvignon,2017-08-31_14-43
12,dir2,2,2,2017-08-31_14-43_22005521_14_53.tar.gz,5289.95,5312.25,1,cabernet sauvignon,2017-08-31_14-43
14,dir1,1,2,2017-08-31_14-43_22005521_14_53.tar.gz,5317.25,5349.9,1,cabernet sauvignon,2017-08-31_14-43
14,dir1,2,2,2017-08-31_14-43_22005521_14_54.tar.gz,5349.95,5354.15,1,cabernet sauvignon,2017-08-31_14-43
14,dir2,1,1,2017-08-31_14-43_22005521_14_54.tar.gz,5358.85,5390.8,1,cabernet sauvignon,2017-08-31_14-43
16,dir1,1,2,2017-08-31_14-43_22005521_14_54.tar.gz,5395.8,5409.85,1,cabernet sauvignon,2017-08-31_14-43
16,dir1,2,2,2017-08-31_14-43_22005521_14_55.tar.gz,5409.9,5428.6,1,cabernet sauvignon,2017-08-31_14-43
16,dir2,1,1,2017-08-31_14-43_22005521_14_55.tar.gz,5433.2,5462.45,1,cabernet sauvignon,2017-08-31_14-43
