rows,direction,part,of,file,start,end,pass,varietal,scanid
2,dir1,1,1,2017-08-31_11-46_22005521_11_48.tar.gz,11775.7,11817.95,1,cabernet sauvignon,2017-08-31_11-46
2,dir2,1,1,2017-08-31_11-46_22005521_11_49.tar.gz,11823.95,11878.15,1,cabernet sauvignon,2017-08-31_11-46
4,dir1,1,1,2017-08-31_11-46_22005521_11_50.tar.gz,11884.15,11925.35,1,cabernet sauvignon,2017-08-31_11-46
4,dir2,1,2,2017-08-31_11-46_22005521_11_50.tar.gz,11930.85,11944.05,1,cabernet sauvignon,2017-08-31_11-46
4,dir2,2,2,2017-08-31_11-46_22005521_11_51.tar.gz,11944.1,11978.55,1,cabernet sauvignon,2017-08-31_11-46
6,dir1,1,2,2017-08-31_11-46_22005521_11_51.tar.gz,11984.7,12004.05,1,cabernet sauvignon,2017-08-31_11-46
6,dir1,2,2,2017-08-31_11-46_22005521_11_52.tar.gz,12004.1,12023.25,1,cabernet sauvignon,2017-08-31_11-46
6,dir2,1,2,2017-08-31_11-46_22005521_11_52.tar.gz,12028.8,12064.05,1,cabernet sauvignon,2017-08-31_11-46
6,dir2,2,2,2017-08-31_11-46_22005521_11_53.tar.gz,12064.1,12079.1,1,cabernet sauvignon,2017-08-31_11-46
8,dir1,1,1,2017-08-31_11-46_22005521_11_53.tar.gz,12085.2,12121.4,1,cabernet sauvignon,2017-08-31_11-46
8,dir2,1,1,2017-08-31_11-46_22005521_11_54.tar.gz,12126.9,12178.3,1,cabernet sauvignon,2017-08-31_11-46
10,dir1,1,1,2017-08-31_11-46_22005521_11_55.tar.gz,12184.05,12220.95,1,cabernet sauvignon,2017-08-31_11-46
10,dir2,1,2,2017-08-31_11-46_22005521_11_55.tar.gz,12226.55,12244,1,cabernet sauvignon,2017-08-31_11-46
10,dir2,2,2,2017-08-31_11-46_22005521_11_56.tar.gz,12244.05,12270.5,1,cabernet sauvignon,2017-08-31_11-46
12,dir1,1,2,2017-08-31_11-46_22005521_11_56.tar.gz,12276.6,12304,1,cabernet sauvignon,2017-08-31_11-46
12,dir1,2,2,2017-08-31_11-46_22005521_11_57.tar.gz,12304.05,12309.85,1,cabernet sauvignon,2017-08-31_11-46
12,dir2,1,1,2017-08-31_11-46_22005521_11_57.tar.gz,12315.35,12355.3,1,cabernet sauvignon,2017-08-31_11-46
14,dir1,1,2,2017-08-31_11-46_22005521_11_57.tar.gz,12361.6,12364,1,cabernet sauvignon,2017-08-31_11-46
14,dir1,2,2,2017-08-31_11-46_22005521_11_58.tar.gz,12364.05,12392.2,1,cabernet sauvignon,2017-08-31_11-46
14,dir2,1,2,2017-08-31_11-46_22005521_11_58.tar.gz,12397.7,12424,1,cabernet sauvignon,2017-08-31_11-46
14,dir2,2,2,2017-08-31_11-46_22005521_11_59.tar.gz,12424.05,12435.4,1,cabernet sauvignon,2017-08-31_11-46
16,dir1,1,1,2017-08-31_11-46_22005521_11_59.tar.gz,12441.6,12475.6,1,cabernet sauvignon,2017-08-31_11-46
